
time 01h 15m 21s, episodes 50487, frames 16.8M, run epr 324.40, run loss 118.07
time 01h 16m 21s, episodes 51097, frames 17.0M, run epr 285.31, run loss 90.31
time 01h 17m 22s, episodes 51719, frames 17.2M, run epr 300.82, run loss 106.77
time 01h 18m 24s, episodes 52336, frames 17.5M, run epr 296.22, run loss 87.71
time 01h 19m 25s, episodes 52945, frames 17.7M, run epr 299.33, run loss 97.99
time 01h 20m 27s, episodes 53590, frames 17.9M, run epr 293.58, run loss 84.52

	18M frames: saved model

time 01h 21m 28s, episodes 54216, frames 18.1M, run epr 324.39, run loss 130.34
time 01h 22m 29s, episodes 54850, frames 18.4M, run epr 290.13, run loss 90.12
time 01h 23m 31s, episodes 55489, frames 18.6M, run epr 292.39, run loss 88.38
time 01h 24m 31s, episodes 56141, frames 18.8M, run epr 301.65, run loss 96.01
time 01h 25m 33s, episodes 56767, frames 19.0M, run epr 304.22, run loss 102.76
time 01h 26m 33s, episodes 57336, frames 19.3M, run epr 332.44, run loss 130.16
time 01h 27m 35s, episodes 57936, frames 19.5M, run epr 310.34, run loss 121.15
time 01h 28m 36s, episodes 58562, frames 19.7M, run epr 304.83, run loss 113.28
time 01h 29m 37s, episodes 59164, frames 20.0M, run epr 306.02, run loss 102.40

	20M frames: saved model

time 01h 30m 37s, episodes 59765, frames 20.2M, run epr 344.38, run loss 141.98
time 01h 31m 37s, episodes 60362, frames 20.4M, run epr 310.70, run loss 107.33
time 01h 32m 38s, episodes 60969, frames 20.6M, run epr 305.50, run loss 106.81
time 01h 33m 38s, episodes 61611, frames 20.8M, run epr 264.40, run loss 85.16
time 01h 34m 41s, episodes 62252, frames 21.1M, run epr 287.20, run loss 90.15
time 01h 35m 42s, episodes 62865, frames 21.3M, run epr 295.60, run loss 100.44
time 01h 36m 42s, episodes 63486, frames 21.5M, run epr 299.44, run loss 108.32
time 01h 37m 44s, episodes 64101, frames 21.8M, run epr 332.39, run loss 115.21
time 01h 38m 45s, episodes 64719, frames 22.0M, run epr 315.28, run loss 116.75

	22M frames: saved model

